Geography,Region,Year,PUE
GLOBAL,GLOBAL,2023,1.15
AMER,AMER,2023,1.14
EMEA,EMEA,2023,1.12
APAC,APAC,2023,1.28
Europe (Stockholm),eu-north-1,2023,1.12
Middle East (Bahrain),me-south-1,2023,1.32
Asia-Pacific (Mumbai),ap-south-1,2023,1.44
Asia-Pacific (Jakarta),ap-southeast-3,2023,1.35
U.S. East (Ohio),us-east-2,2023,1.12
Africa (Cape Town),af-south-1,2023,1.24
Europe (Ireland),eu-west-1,2023,1.1
Middle East (UAE),me-central-1,2023,1.36
Europe (Frankfurt),eu-central-1,2023,1.33
South America (Sao Paulo),sa-east-1,2023,1.18
Asia-Pacific (Hyderabad),ap-south-2,2023,1.5
U.S. East (Northern Virginia),us-east-1,2023,1.15
Asia-Pacific (Melbourne),ap-southeast-4,2023,1.08
Asia-Pacific (Tokyo),ap-northeast-1,2023,1.32
U.S. West (Oregon),us-west-2,2023,1.13
U.S. West (Northern California),us-west-1,2023,1.17
Asia-Pacific (Singapore),ap-southeast-1,2023,1.3
Asia-Pacific (Sydney),ap-southeast-2,2023,1.15
Canada (Central),ca-central-1,2023,1.22
Europe (Spain),eu-south-2,2023,1.11
China (Ningxia),cn-northwest-1,2023,1.26
